Product Name,SKU,Category,Supplier,Price,Current Quantity,Max Stock Level,Percentage Available,Warehouse Location
Wireless Mouse,FOOD-APL-001,Electronics,Harbor Fresh Foods,$19.99,50,100,50.00%,Warehouse-4
Diesel Fuel,FUEL-DIESEL-004,Fuel,Blue Ocean Marine Supplies,$33.45,36,100,36.00%,Warehouse-4
Canned Tuna,FOOD-TUNA-005,Food Provisions,Harbor Fresh Foods,$5.33,32,100,32.00%,Warehouse-4
Wireless Mouse,FOOD-APL-001,Electronics,Ocean Fresh Supplies,$9.85,4,100,4.00%,Warehouse-2
Multipurpose Cleaner,CLEAN-MPC-003,Cleaning Supplies,Ocean Fresh Supplies,$26.92,0,100,0.00%,Warehouse-4
Wireless Mouse,FOOD-APL-001,Electronics,Blue Ocean Marine Supplies,$12.73,2,100,2.00%,Warehouse-4
Marine Rope,MARINE-ROPE-002,Marine Equipment,EcoClean Solutions,$44.29,43,100,43.00%,Warehouse-5
Marine Rope,MARINE-ROPE-002,Marine Equipment,Blue Ocean Marine Supplies,$5.47,41,100,41.00%,Warehouse-1
Marine Rope,MARINE-ROPE-002,Marine Equipment,Global Fuel Distributors,$14.49,29,100,29.00%,Warehouse-5
Multipurpose Cleaner,CLEAN-MPC-003,Cleaning Supplies,Blue Ocean Marine Supplies,$30.88,83,100,83.00%,Warehouse-3
Multipurpose Cleaner,CLEAN-MPC-003,Cleaning Supplies,Harbor Fresh Foods,$48.14,62,100,62.00%,Warehouse-4
Canned Tuna,FOOD-TUNA-005,Food Provisions,Marine Gear Hub,$27.94,72,100,72.00%,Warehouse-1
MEANS,PROG-MER-001,Programming,Harbor Fresh Foods,$19.99,50,100,50.00%,N/A
Toner,MACH-TON-001,Machines,Harbor Fresh Foods,$500.00,190,100,100.00%,N/A
Codeflow enterprise,TECH-COD-001,Tech ,Harbor Fresh Foods,$1.0k,500,100,100.00%,N/A
LED Floodlight,ELEC-LED-001,Electrical,Harbor Fresh Foods,$11.1k,190,100,100.00%,N/A
Life Jacket Type III,SOFT-LIF-001,Software engineering,Harbor Fresh Foods,$33.00,190,100,100.00%,N/A
Life Jacket Type III,EMMA-LIF-001,Emmanuel,Harbor Fresh Foods,$222.00,190,100,100.00%,N/A
Hello,SOFT-HEL-001,Software engineering,Harbor Fresh Foods,$233.00,10000,100,100.00%,N/A
Life Jacket Type III,TEAC-LIF-001,teaching,Harbor Fresh Foods,$222.00,190,100,100.00%,N/A
Life Jacket Type III,TEAC-LIF-001,teaching,Harbor Fresh Foods,$345.00,190,100,100.00%,N/A
N/A,N/A,N/A,Harbor Fresh Foods,$333.00,190,100,100.00%,N/A
Life Jacket Type III,EMMA-LIF-001,Emmanuel,Harbor Fresh Foods,$234.00,190,100,100.00%,N/A
MEANS,PROG-MER-001,Programming,Harbor Fresh Foods,$19.99,50,100,50.00%,N/A
MEANS,PROG-MER-001,Programming,Harbor Fresh Foods,$19.99,50,100,50.00%,N/A
MEANS,PROG-MER-001,Programming,N/A,$19.99,50,100,50.00%,N/A
MEANS,PROG-MER-001,Programming,N/A,$19.99,50,100,50.00%,N/A
hellos,1234-HEL-001,12345,N/A,$12.3k,12345,100,100.00%,N/A
PunchS,APP-CHE-001,App,N/A,$1.2k,11,100,11.00%,N/A
MERN,PROG-MER-002,Programming,Ocean Fresh Supplies,$19.99,48,100,48.00%,N/A
PunchS,APP-CHE-001,App,Ocean Fresh Supplies,$2.00,1,100,1.00%,N/A
Samsung ,HARD-SAM-001,Hardware,Ocean Fresh Supplies,$23.00,0,100,0.00%,N/A
Umbrella,DANG-UMB-001,Dangote,Ocean Fresh Supplies,$12.00,8,100,8.00%,N/A
Life Jacket Type III,ELEC-LIF-001,Electrical,Ocean Fresh Supplies,$1.0k,10,100,10.00%,N/A
round,TEAC-ROU-001,teaching,N/A,$450.00,24,100,24.00%,N/A
jvrjeif,KMCI-JVR-001,kmciksmcisc,N/A,$12.00,1,100,1.00%,N/A
Emmanuel,GADG-EMM-001,gadget,N/A,$1.5k,1,100,1.00%,N/A
Jason Osikoya,PROG-JAS-001,Programming,N/A,$25.00,12,100,12.00%,N/A
Jendol Bread ,SURU-JEN-001,Surulere,N/A,$1.5k,2,100,2.00%,N/A
